feature,importances
horse_win_rate_track_code,1527.6651784181595
past_corner1_rank_mean_grouped_dist_type,1519.6006001234055
all_win_rate3_trainer_id_jockey_id_field_type,1514.8288984298706
all_win_rate_weather_waku,1513.1334154605865
horse_TrueSkill_max_jockey_EloRating,1503.0849348306656
horse_TrueSkill_min_jockey_TrueSkill_max,1499.2797560691833
past_corner2_rank_mean_grouped_dist,1485.9737620353699
past_corner3_rank_mean_grouped_dist,1484.2185670137405
all_win_rate3_father_broodmare_sire_age_code,1473.2141304016113
all_prize_per_racing_in_group_father,1433.0402374267578
all_win_rate3_father_broodmare_sire_owner,1391.3499267101288
all_win_rate_mother_track_code,1387.541152715683
all_win_rate3_owner_field_type,1384.5974538326263
horse_TrueSkill_min_jockey_TrueSkill,1378.3997328281403
all_win_rate3_corner_num_waku,1333.1277462244034
all_win_rate3_corner_num_field_type_waku,1332.6134057044983
all_win_rate_trainer_id,1332.3404088020325
past_last_3F_rank_mean_grouped_dist_type_waku,1326.4607328176498
all_win_rate3_trainer_id_state_field_type,1308.6660982370377
all_win_rate_field_type_place_waku,1297.559241771698
all_win_rate_trainer_id_class_code_field_type,1286.6974878311157
horse_win_rate3_track_code,1276.0844194889069
all_win_rate3_mother_age_code,1271.5928149223328
all_win_rate_father_age_code,1267.1564306020737
逃げ_per_entries,1266.9933096170425
all_win_rate3_owner_race_type_waku,1265.3662804365158
all_win_rate_turn_type_field_type_place_waku,1256.464506149292
all_win_rate3_breeding_farm_class_code_race_type_waku,1242.147663116455
all_win_rate_season_sex,1224.8668385744095
horse_TrueSkill_horse_Glicko2_max,1222.5821208953857
all_win_rate3_breeding_farm_class_code,1216.4205948114395
horse_win_rate3_basis_weight,1211.7967660427094
horse_TrueSkill_max_jockey_TrueSkill_min,1192.4950811862946
all_win_rate3_breeding_farm_race_type_waku,1183.2630723714828
horse_EloRating_jockey_EloRating,1182.4017177820206
all_win_rate_turn_type_waku,1178.870004415512
all_win_rate3_owner_class_code,1170.8677390813828
horse_win_rate3_season,1170.5224540233612
all_win_rate3_weather_state_place_waku,1166.3599191904068
horse_win_rate3_dist_field_type,1163.6037204265594
horse_win_rate_turn_type,1149.997671842575
lifetime_prize,1141.108721256256
all_win_rate_owner_weather,1132.7538094520569
all_win_rate3_turn_type_field_type_waku,1131.1370928287506
interval_day,1114.418037891388
all_win_rate_trainer_id_waku,1114.268547296524
horse_TrueSkill_max_jockey_TrueSkill_max,1099.2336040735245
horse_win_rate3_dist_place_class_code,1095.07091319561
all_win_rate3_turn_type_field_type_dist_type_waku,1088.5320513248444
horse_win_rate3_corner_num,1086.7648782730103
all_win_rate_trainer_id_race_type_waku,1074.0518383979797
past_corner4_rank_mean_grouped_dist,1069.5265276432037
all_win_rate3_trainer_id,1067.8869926929474
all_prize_per_racing_in_group_father_mother,1066.9875929355621
horse_win_rate3_dist_type_corner_num,1063.9750125408173
all_win_rate3_father_place_field_type,1059.4381844997406
horse_TrueSkill_max_jockey_TrueSkill,1059.1335361003876
all_win_rate3_owner_place,1028.8081413507462
Ave_3F_mean_all,1027.085207104683
past_corner4_rank_mean,1026.097821712494
all_win_rate_trainer_id_class_code,1025.2898178100586
horse_win_rate_trainer_id,1013.3577454090118
all_win_rate3_season_sex,1010.200369477272
horse_win_rate_jockey_id_field_type,980.8905655145645
all_win_rate3_weather_waku,980.1354455947876
past_last_3F_rank_mean,960.5497245788574
jockey_TrueSkill_max_horse_EloRating,960.201375246048
all_win_rate_field_type_state_waku,956.3135371208191
all_win_rate3_field_type_state_waku,953.0347330570221
all_win_rate_trainer_id_class_code_race_type_waku,952.7211282253265
all_win_rate3_season_place,951.4244879484177
past_pop_mean_grouped_dist,948.4842146635056
horse_win_rate3_dist_corner_num,945.8844821453094
all_win_rate3_field_type_waku,944.0565193891525
horse_win_rate3_dist_type,933.4393560886383
中団_per_entries,929.2033104896545
all_win_rate_horse,923.6577016115189
all_win_rate_weather_state_waku,919.9804117679596
past_rank_mean_grouped_place,905.4711929559708
horse_win_rate3_waku,903.6129132509232
all_win_rate3_mother_trainer_id,900.3911950588226
all_win_rate_weather_place_waku,899.4538049697876
horse_num,895.1059114933014
all_win_rate_turn_type_field_type_waku,885.812361240387
horse_TrueSkill_min,883.4551706314087
all_win_rate_jockey_id_place_dist,881.3608915805817
horse_TrueSkill_max_horse_Glicko2_max,878.0824418067932
all_win_rate3_father_age_code,877.0571236610413
all_win_rate_trainer_id_state_field_type,868.8831305503845
past_corner1_rank_mean_grouped_dist,856.1000578403473
all_win_rate3_weather_place_waku,853.8916360139847
all_win_rate_father_broodmare_sire_field_type,852.2900315523148
horse_TrueSkill_max,850.9833739995956
all_win_rate3_father_broodmare_sire_class_code,849.1160358190536
all_win_rate3_trainer_id_season,849.0789878368378
all_win_rate_field_type_waku,837.5720307826996
all_win_rate_mother_sex,834.2712404727936
all_win_rate3_trainer_id_jockey_id_class_code,830.5282413959503
all_win_rate3_owner_state_field_type,824.6655421257019
jockey_TrueSkill_diff_from_last3_racing,823.8264801502228
horse_win_rate3_dist_type_class_code_place,805.7054398059845
all_win_rate_trainer_id_jockey_id_class_code,798.9501115083694
all_win_rate3_mother_race_type,794.7688841819763
horse_TrueSkill_min_jockey_EloRating,794.1636910438538
all_win_rate_weather_state_place_waku,782.5300101041794
horse_win_rate3_jockey_id_season,764.8691160678864
all_win_rate_father_track_code,761.9817346334457
all_win_rate3_father_sex,756.8184946775436
basis_weight,751.2158414125443
all_win_rate_mother_age_code,738.6685215234756
ﾏｸﾘ_cumcount_past_racing,738.5193604230881
all_win_rate3_trainer_id_weather,732.9927426576614
all_win_rate3_field_type_weather_waku,732.4879803657532
all_win_rate3_weather_field_type_waku,729.3495953083038
all_win_rate3_season,728.1223599910736
all_prize_in_group_mother,724.9273018836975
all_win_rate_father_place,705.217579126358
inc_dec_mean_all,701.1814776659012
ﾏｸﾘ_per_entries,700.0062794685364
