feature,importances
jockey_TrueSkill_max_jockey_EloRating,141.78936052322388
all_win_rate_mother_turn_type,141.35938930511475
horse_win_rate_jockey_id,140.4946894645691
all_win_rate3_jockey_id_weather_waku,140.22908878326416
all_win_rate3_owner_state,139.53040194511414
all_win_rate3_jockey_id_turn_type_place_waku,139.366468667984
all_win_rate3_breeding_farm_field_type,139.34288096427917
all_win_rate_father,138.65012121200562
all_win_rate_father_broodmare_sire_place_field_type,137.64268851280212
horse_win_rate3_season_waku,135.8637809753418
all_win_rate_breeding_place_state,134.49289965629578
all_win_rate_father_place_dist_type,133.10404002666473
all_win_rate3_father_broodmare_sire_turn_type,132.98629987239838
all_win_rate_breeding_place_class_code_field_type,132.79710030555725
all_win_rate_owner_race_type_waku,131.7151803970337
all_win_rate3_father_place_weather,130.93951952457428
後方_cumcount_past_racing,129.09048056602478
horse_win_rate3_weather,128.4152194261551
all_win_rate_mother_breeding_place,127.11940038204193
all_prize_per_racing_in_group_broodmare_sire,125.41797018051147
jockey_TrueSkill_max_jockey_Glicko2_max,125.24954032897949
horse_win_rate_dist_track_code,124.84756064414978
all_win_rate3_jockey_id_season_waku,124.80016851425171
all_win_rate_breeding_farm_class_code_race_type_waku,123.99726009368896
month_cos,123.36446022987366
all_win_rate_father_broodmare_sire_weather_season,122.08933007717133
all_win_rate3_breeding_place,121.46739029884338
all_win_rate_mother_weather_state,119.84265971183777
all_win_rate3_father_weather,117.8845204114914
jockey_TrueSkill_max_jockey_Glicko2,116.59677839279175
all_win_rate3_breeding_place_class_code_race_type_waku,113.1420407295227
all_win_rate_mother_race_type,112.31648993492126
all_win_rate3_jockey_id_corner_num,111.56189918518066
jockey_TrueSkill_jockey_TrueSkill_max,111.36296916007996
all_win_rate_breeding_farm,111.3526701927185
all_win_rate3_mother,111.2121193408966
all_win_rate_father_broodmare_sire_turn_type,110.89273059368134
all_win_rate_breeding_farm_field_type,109.16905045509338
all_win_rate3_jockey_id_turn_type_dist_waku,108.37831020355225
all_win_rate3_jockey_id_weather,108.1236617565155
horse_TrueSkill_jockey_Glicko2_max,107.975830078125
all_win_rate_breeding_place_state_field_type,107.67544865608215
all_win_rate_mother,106.87951016426086
jockey_TrueSkill_jockey_Glicko2,106.28106844425201
all_win_rate3_mother_place_weather,106.22664999961853
all_win_rate_father_class_code,105.36041069030762
jockey_TrueSkill_jockey_Glicko2_max,104.2437813282013
all_win_rate_breeding_place,103.00130939483643
horse_win_rate3_state,102.08480072021484
all_win_rate_father_place_weather,101.97610080242157
jockey_TrueSkill_max_jockey_Glicko2_min,101.4818503856659
all_win_rate_mother_place_dist,101.1701911687851
horse_TrueSkill_jockey_Glicko2,100.72456002235413
horse_win_rate_dist_waku,100.39274978637695
all_win_rate3_mother_weather_season,99.90540969371796
all_win_rate3_father_broodmare_sire_weather,99.78659105300903
horse_win_rate3_dist_place_waku,99.04006922245026
all_win_rate_father_broodmare_sire_sex,97.55978035926819
all_win_rate3_father_weather_season,97.33731961250305
all_win_rate_father_broodmare_sire_season,96.54014039039612
all_win_rate_father_broodmare_sire,96.44717049598694
horse_win_rate_jockey_id_season,93.98236989974976
all_win_rate_jockey_id_weather_state,93.89251947402954
jockey_TrueSkill_min_jockey_Glicko2_max,92.9112696647644
all_win_rate_mother_place,92.61968040466309
all_win_rate_father_broodmare_sire_race_type,91.56463956832886
horse_win_rate3_season_state,91.41323924064636
all_win_rate3_trainer_id_jockey_id_season,90.91566944122314
all_win_rate_father_state,90.12784099578857
all_win_rate3_breeding_farm_waku,89.7931694984436
all_win_rate_father_season,89.04792046546936
all_win_rate_father_trainer_id,87.26655995845795
jockey_TrueSkill_min_jockey_Glicko2,84.6579999923706
horse_win_rate_season,80.21898007392883
all_prize_per_racing_in_group_father_broodmare_sire,79.69516897201538
horse_win_rate3_dist_waku,79.55613088607788
jockey_TrueSkill_min,79.0612096786499
all_win_rate3_breeding_place_class_code_field_type,74.9100284576416
horse_Glicko2_jockey_Glicko2_max,74.40009069442749
jockey_EloRating_jockey_Glicko2,74.02700996398926
all_win_rate_jockey_id_weather_season,73.29714000225067
all_win_rate3_jockey_id_season,73.21782112121582
all_win_rate_breeding_place_field_type,72.86534023284912
horse_win_rate_waku,71.34103083610535
jockey_TrueSkill_jockey_TrueSkill_min,70.320809841156
all_win_rate3_breeding_place_class_code,69.73153018951416
horse_TrueSkill_horse_EloRating,69.2725396156311
horse_win_rate_dist_place,66.48499965667725
jockey_TrueSkill_min_jockey_EloRating,66.23651957511902
horse_win_rate_dist,66.00909948348999
all_win_rate3_breeding_place_waku,65.77908945083618
all_win_rate3_trainer_id_jockey_id_class_code_race_type_waku,65.74011969566345
all_win_rate_father_broodmare_sire_class_code,65.65209984779358
all_win_rate_father_broodmare_sire_age_code,65.3894305229187
horse_win_rate_state,65.35100984573364
horse_Glicko2_max_jockey_Glicko2,64.67018008232117
all_win_rate3_breeding_farm_state,63.867980003356934
jockey_TrueSkill,63.85776948928833
all_win_rate3_jockey_id_weather_state,63.641990661621094
jockey_EloRating_jockey_Glicko2_max,62.989800691604614
horse_win_rate_place_field_type_dist,61.87605953216553
horse_win_rate_basis_weight,61.74945044517517
all_win_rate3_breeding_farm,60.48111057281494
all_win_rate3_breeding_place_field_type,60.24754047393799
all_win_rate3_jockey_id_weather_season,58.77399945259094
all_win_rate_father_weather,58.19570016860962
horse_win_rate_weather_class_code_waku,57.412349700927734
horse_win_rate_age_code,55.62461018562317
month,53.467039823532104
all_win_rate3_father_weather_state,52.80328059196472
all_win_rate3_breeding_place_state_field_type,52.0558797121048
all_win_rate3_father_broodmare_sire_weather_state,49.04074990749359
jockey_Glicko2_max,47.39583969116211
all_win_rate_breeding_place_season,46.194520711898804
horse_win_rate_dist_field_type_waku,44.91634023189545
all_win_rate_jockey_id_weather_state_field_type,42.74024987220764
horse_win_rate3_weather_state,41.68088102340698
horse_win_rate3_weather_place,40.830260038375854
horse_TrueSkill_jockey_Glicko2_min,39.768749952316284
horse_Glicko2_jockey_Glicko2_min,39.01821994781494
horse_Glicko2_min_jockey_Glicko2_max,37.770530223846436
horse_Glicko2_jockey_Glicko2,37.460840344429016
jockey_TrueSkill_jockey_Glicko2_min,36.91618037223816
horse_Glicko2_max_jockey_Glicko2_min,36.363380432128906
horse_win_rate_jockey_id_weather,35.261240005493164
all_win_rate3_mother_place_weather_state,34.512059688568115
jockey_EloRating_jockey_Glicko2_min,33.2435302734375
jockey_TrueSkill_min_jockey_TrueSkill_max,33.22850060462952
all_win_rate3_trainer_id_class_code_race_type_waku,33.17672038078308
jockey_Glicko2_jockey_Glicko2_min,32.35640025138855
horse_Glicko2_min_jockey_Glicko2,32.21155071258545
all_win_rate_father_weather_season,32.01989984512329
all_win_rate3_breeding_place_state,25.8541202545166
jockey_Glicko2_min_jockey_Glicko2_max,25.673530101776123
horse_win_rate_weather_place,23.259090423583984
day_of_year_cos,23.154080152511597
jockey_TrueSkill_min_jockey_Glicko2_min,22.526430130004883
horse_Glicko2_min_jockey_Glicko2_min,21.425270080566406
horse_EloRating_jockey_Glicko2_max,20.377710342407227
horse_win_rate_class_code,19.692409992218018
jockey_Glicko2,18.17583990097046
jockey_Glicko2_jockey_Glicko2_max,13.495009660720825
all_win_rate_mother_place_weather_state,9.11040997505188
jockey_Glicko2_min,2.593440055847168
horse_EloRating_jockey_Glicko2_min,2.403700113296509
horse_win_rate_season_class_code,2.350909948348999
horse_win_rate_weather_class_code_state,2.28590989112854
day_cos,0.0
day,0.0
day_of_week,0.0
year_cos,0.0
all_win_rate_season,0.0
day_of_week_cos,0.0
all_win_rate_season_place,0.0
horse_EloRating_jockey_Glicko2,0.0
horse_win_rate_season_weather_state_class_code,0.0
horse_win_rate_dist_class_code,0.0
horse_win_rate_dist_place_class_code,0.0
horse_win_rate_dist_type_class_code_place,0.0
horse_win_rate_dist_type_class_code,0.0
horse_win_rate_season_weather_class_code,0.0
horse_win_rate_season_state_class_code,0.0
horse_win_rate_weather_class_code_place,0.0
